Protein,INT_M.1,INT_M.2,POS_M.1,POS_M.2,pvalue,log2FC,imputed_log2FC,imputed_Pvalue,imputed_adjPvalue
Q8K0U4,13.79136304,13.8142354,15.20262686,14.32116418,0.122567283,-0.959096303,-0.959096303,0.122567283,0.988262249
Q8K0Z7,16.99589962,17.49646372,16.34746566,16.45986382,0.236362062,0.842516928,0.842516928,0.236362062,0.988262249
Q8K1B8,15.29196206,15.72688336,15.49207224,15.94139154,0.679701581,-0.207309181,-0.207309181,0.679701581,0.997566344
Q8K1E6,14.60426364,14.86877434,14.81192654,14.36420307,0.783800621,0.148454187,0.148454187,0.783800621,0.997566344
Q8K1G2,16.32502431,16.03741826,14.24940979,14.02297459,0.151686289,2.045029098,2.045029098,0.151686289,0.988262249
Q8K1J6,14.53052826,15.32396953,14.68852352,14.90034796,0.830180716,0.132813154,0.132813154,0.830180716,0.997566344
Q8K1M6,16.00655312,16.15086329,15.3105382,15.20361399,0.250060171,0.821632108,0.821632108,0.250060171,0.990420869
Q8K1R7,16.26407934,16.39354129,16.59239864,16.4418905,0.715712675,-0.188334253,-0.188334253,0.715712675,0.997566344
Q8K212,14.44466576,14.52019258,14.46564861,14.08129126,0.643653168,0.208959236,0.208959236,0.643653168,0.997566344
Q8K268,13.87476194,14.53742725,14.11985907,13.72117817,0.620320375,0.285575973,0.285575973,0.620320375,0.997566344
Q8K274,15.31542086,15.62804471,15.33004153,14.8466943,0.598026583,0.383364867,0.383364867,0.598026583,0.997566344
Q8K2B3,14.15541738,14.11186216,13.13269866,12.69320379,0.137010279,1.220688546,1.220688546,0.137010279,0.988262249
Q8K2C8,15.31918992,15.3700943,15.06243952,14.75857912,0.462657887,0.43413279,0.43413279,0.462657887,0.997566344
Q8K2C9,13.28616045,13.53212993,13.66339116,13.86626021,0.477124413,-0.355680496,-0.355680496,0.477124413,0.997566344
Q8K2K6,15.65732309,15.73077299,15.17360147,14.93419302,0.104458136,0.640150797,0.640150797,0.104458136,0.988262249
Q8K2L8,14.07295603,14.2816403,14.2515208,13.98094284,0.915246641,0.061066348,0.061066348,0.915246641,0.997566344
Q8K2Q9,15.64656909,15.69832156,14.51117245,14.31186201,0.117388727,1.260928091,1.260928091,0.117388727,0.988262249
Q8K310,15.13927155,15.08443471,14.83036665,14.82927678,0.52195605,0.282031415,0.282031415,0.52195605,0.997566344
Q8K310;A0A087WQ54,16.15406651,16.02743089,15.68904248,14.87060553,0.221789323,0.810924694,0.810924694,0.221789323,0.988262249
