"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031594","GO:0031594","neuromuscular junction","3/282","185/31010",0.237483548537076,0.568403247318248,0.47127882798557,"O08715/Q811D0/Q91XM9",3
"GO:0032541","GO:0032541","cortical endoplasmic reticulum","1/282","30/31010",0.239813955923322,0.569314431948049,0.472034316323184,"P70302",1
"GO:0005686","GO:0005686","U2 snRNP","1/282","31/31010",0.246733661037255,0.581017975990955,0.481738047865608,"Q8K4Z5",1
"GO:0031306","GO:0031306","intrinsic component of mitochondrial outer membrane","1/282","33/31010",0.26038533969598,0.592511422859922,0.491267582039589,"Q80U63",1
"GO:0071004","GO:0071004","U2-type prespliceosome","1/282","33/31010",0.26038533969598,0.592511422859922,0.491267582039589,"Q8K4Z5",1
"GO:0071010","GO:0071010","prespliceosome","1/282","33/31010",0.26038533969598,0.592511422859922,0.491267582039589,"Q8K4Z5",1
"GO:0043230","GO:0043230","extracellular organelle","3/282","195/31010",0.261760183386746,0.592511422859922,0.491267582039589,"P14142/P63038/Q8R2H9",3
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","3/282","195/31010",0.261760183386746,0.592511422859922,0.491267582039589,"P14142/P63038/Q8R2H9",3
"GO:0008021","GO:0008021","synaptic vesicle","5/282","385/31010",0.273729447292598,0.614838450841835,0.509779537467996,"P23819/Q60930/Q811D0/Q91XM9/Q9ER39",5
"GO:0030904","GO:0030904","retromer complex","1/282","36/31010",0.280401962250587,0.625018114329554,0.518219777562355,"A6H8H2",1
"GO:0043083","GO:0043083","synaptic cleft","1/282","38/31010",0.293445555520645,0.649137137969911,0.538217526074547,"Q80ZF8",1
"GO:0016328","GO:0016328","lateral plasma membrane","2/282","123/31010",0.308029741447343,0.676078434410062,0.560555298898033,"P53986/Q811D0",2
"GO:0030658","GO:0030658","transport vesicle membrane","3/282","215/31010",0.311083431777192,0.676078434410062,0.560555298898033,"P23819/Q811D0/Q91XM9",3
"GO:0043034","GO:0043034","costamere","1/282","41/31010",0.312570509059447,0.676078434410062,0.560555298898033,"Q8C8R3",1
"GO:0033270","GO:0033270","paranode region of axon","1/282","42/31010",0.318830159563022,0.677925993812614,0.562087161416371,"Q811D0",1
"GO:0042588","GO:0042588","zymogen granule","1/282","42/31010",0.318830159563022,0.677925993812614,0.562087161416371,"P63038",1
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","1/282","43/31010",0.325033010732075,0.677925993812614,0.562087161416371,"P06728",1
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","1/282","43/31010",0.325033010732075,0.677925993812614,0.562087161416371,"P06728",1
"GO:0045120","GO:0045120","pronucleus","1/282","43/31010",0.325033010732075,0.677925993812614,0.562087161416371,"Q9DBR0",1
"GO:0005930","GO:0005930","axoneme","3/282","222/31010",0.328450735586151,0.680195849582668,0.563969161514108,"A2A5R2/P10637/Q80UG5",3
"GO:0014704","GO:0014704","intercalated disc","2/282","131/31010",0.334678337244101,0.68821179207942,0.57061540078683,"P39447/Q8C8R3",2
"GO:0031430","GO:0031430","M band","1/282","45/31010",0.337270364731196,0.688691933576988,0.571013499360877,"Q8C8R3",1
"GO:0097014","GO:0097014","ciliary plasm","3/282","227/31010",0.340854109713982,0.691176389142241,0.573073430074677,"A2A5R2/P10637/Q80UG5",3
"GO:0044304","GO:0044304","main axon","3/282","229/31010",0.345811724329726,0.696393265546759,0.577398886358164,"P10637/Q811D0/Q91XM9",3
"GO:0045171","GO:0045171","intercellular bridge","2/282","140/31010",0.364288318501494,0.716508209502288,0.594076741836792,"P48193/Q3UJU9",2
"GO:0070382","GO:0070382","exocytic vesicle","5/282","437/31010",0.366008408730451,0.716508209502288,0.594076741836792,"P23819/Q60930/Q811D0/Q91XM9/Q9ER39",5
"GO:0005921","GO:0005921","gap junction","1/282","50/31010",0.366905149849041,0.716508209502288,0.594076741836792,"P39447",1
"GO:0016327","GO:0016327","apicolateral plasma membrane","1/282","50/31010",0.366905149849041,0.716508209502288,0.594076741836792,"P39447",1
"GO:0034399","GO:0034399","nuclear periphery","3/282","238/31010",0.36806928570323,0.716508209502288,0.594076741836792,"O35129/P10637/Q9DBR0",3
"GO:0030426","GO:0030426","growth cone","5/282","443/31010",0.376793285961795,0.728633374177776,0.604130050688134,"P10637/P23819/P70302/Q8K2Q9/Q9ER39",5
"GO:0032839","GO:0032839","dendrite cytoplasm","1/282","53/31010",0.384048287155128,0.737776972692746,0.611711260704151,"P23819",1
"GO:0000932","GO:0000932","P-body","2/282","148/31010",0.390181978289461,0.744661030460933,0.617419023093059,"Q04750/Q60865",2
"GO:0030427","GO:0030427","site of polarized growth","5/282","455/31010",0.39834869703983,0.75295183144098,0.6242931551241,"P10637/P23819/P70302/Q8K2Q9/Q9ER39",5
"GO:0034364","GO:0034364","high-density lipoprotein particle","1/282","57/31010",0.406188354786683,0.75295183144098,0.6242931551241,"P06728",1
"GO:0030140","GO:0030140","trans-Golgi network transport vesicle","1/282","58/31010",0.411598327453312,0.75295183144098,0.6242931551241,"P14142",1
"GO:0035371","GO:0035371","microtubule plus-end","1/282","58/31010",0.411598327453312,0.75295183144098,0.6242931551241,"A2AGT5",1
"GO:0097225","GO:0097225","sperm midpiece","1/282","58/31010",0.411598327453312,0.75295183144098,0.6242931551241,"P63038",1
"GO:0005963","GO:0005963","magnesium-dependent protein serine/threonine phosphatase complex","1/282","59/31010",0.416959185286672,0.75295183144098,0.6242931551241,"P11881",1
"GO:0099061","GO:0099061","integral component of postsynaptic density membrane","1/282","59/31010",0.416959185286672,0.75295183144098,0.6242931551241,"P23819",1
"GO:0097431","GO:0097431","mitotic spindle pole","1/282","60/31010",0.422271372606925,0.75295183144098,0.6242931551241,"Q3UJU9",1
"GO:0097228","GO:0097228","sperm principal piece","1/282","61/31010",0.427535329728891,0.75295183144098,0.6242931551241,"Q9DBJ1",1
"GO:0099146","GO:0099146","intrinsic component of postsynaptic density membrane","1/282","61/31010",0.427535329728891,0.75295183144098,0.6242931551241,"P23819",1
"GO:0033268","GO:0033268","node of Ranvier","1/282","62/31010",0.432751492998026,0.75295183144098,0.6242931551241,"Q811D0",1
"GO:0030667","GO:0030667","secretory granule membrane","2/282","163/31010",0.437395019836604,0.75295183144098,0.6242931551241,"P11881/Q9Z329",2
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","2/282","163/31010",0.437395019836604,0.75295183144098,0.6242931551241,"P11881/P23819",2
"GO:0030673","GO:0030673","axolemma","1/282","64/31010",0.443042163726425,0.75295183144098,0.6242931551241,"P10637",1
"GO:0000228","GO:0000228","nuclear chromosome","4/282","375/31010",0.444812531306464,0.75295183144098,0.6242931551241,"Q04750/Q6PB66/Q8CCK0/Q9QYB5",4
"GO:0000794","GO:0000794","condensed nuclear chromosome","2/282","166/31010",0.446601714865373,0.75295183144098,0.6242931551241,"Q6PB66/Q9QYB5",2
"GO:0005791","GO:0005791","rough endoplasmic reticulum","2/282","166/31010",0.446601714865373,0.75295183144098,0.6242931551241,"P52480/P63038",2
"GO:0005811","GO:0005811","lipid droplet","2/282","166/31010",0.446601714865373,0.75295183144098,0.6242931551241,"O08715/Q8CGN5",2
"GO:0071782","GO:0071782","endoplasmic reticulum tubular network","1/282","65/31010",0.448117524349095,0.75295183144098,0.6242931551241,"P70302",1
"GO:0070062","GO:0070062","extracellular exosome","2/282","168/31010",0.452692655492137,0.75295183144098,0.6242931551241,"P14142/P63038",2
"GO:0031514","GO:0031514","motile cilium","4/282","382/31010",0.458808176623053,0.75295183144098,0.6242931551241,"P09041/P63038/Q9D8T7/Q9DBJ1",4
"GO:0005912","GO:0005912","adherens junction","3/282","276/31010",0.459895554872156,0.75295183144098,0.6242931551241,"P39447/Q811D0/Q9QYC0",3
"GO:0000803","GO:0000803","sex chromosome","1/282","68/31010",0.463068745827745,0.75295183144098,0.6242931551241,"Q8CCK0",1
"GO:0051233","GO:0051233","spindle midzone","1/282","68/31010",0.463068745827745,0.75295183144098,0.6242931551241,"Q3TCJ8",1
"GO:0043195","GO:0043195","terminal bouton","2/282","173/31010",0.467751335305811,0.75295183144098,0.6242931551241,"P23819/Q9Z2W8",2
"GO:0044291","GO:0044291","cell-cell contact zone","2/282","173/31010",0.467751335305811,0.75295183144098,0.6242931551241,"P39447/Q8C8R3",2
"GO:0016235","GO:0016235","aggresome","1/282","69/31010",0.467962243781225,0.75295183144098,0.6242931551241,"Q9Z2V5",1
"GO:0031941","GO:0031941","filamentous actin","1/282","69/31010",0.467962243781225,0.75295183144098,0.6242931551241,"Q99MS7",1
"GO:0034706","GO:0034706","sodium channel complex","1/282","70/31010",0.472811299960847,0.75295183144098,0.6242931551241,"Q9Z2W8",1
"GO:0016363","GO:0016363","nuclear matrix","2/282","176/31010",0.476667960994755,0.75295183144098,0.6242931551241,"O35129/Q9DBR0",2
"GO:1990752","GO:1990752","microtubule end","1/282","71/31010",0.477616316554611,0.75295183144098,0.6242931551241,"A2AGT5",1
"GO:0005903","GO:0005903","brush border","3/282","284/31010",0.478545167044478,0.75295183144098,0.6242931551241,"Q8K1M6/Q9JMH9/Q9QYB5",3
"GO:0022626","GO:0022626","cytosolic ribosome","2/282","177/31010",0.479620002219254,0.75295183144098,0.6242931551241,"P62270/Q8BWW4",2
"GO:0034358","GO:0034358","plasma lipoprotein particle","1/282","73/31010",0.487095821635002,0.755774527242721,0.626633530157988,"P06728",1
