"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044295","GO:0044295","axonal growth cone","1/93","102/31010",0.264247652247887,0.411759237454654,0.293706381286907,"P10637",1
"GO:0098839","GO:0098839","postsynaptic density membrane","1/93","103/31010",0.266461479358698,0.411759237454654,0.293706381286907,"Q811D0",1
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","2/93","337/31010",0.26818529281586,0.411759237454654,0.293706381286907,"P10637/Q811D0",2
"GO:0099738","GO:0099738","cell cortex region","1/93","109/31010",0.279606732582776,0.42500223352582,0.30315256269501,"P48193",1
"GO:0098562","GO:0098562","cytoplasmic side of membrane","2/93","360/31010",0.293718251977161,0.442031428718104,0.315299426301695,"P10637/Q811D0",2
"GO:0042383","GO:0042383","sarcolemma","2/93","382/31010",0.318038383432397,0.473939551781612,0.338059375578296,"Q8C8R3/Q811D0",2
"GO:0008021","GO:0008021","synaptic vesicle","2/93","385/31010",0.321341980612927,0.474213408283154,0.33825471643466,"Q9ER39/Q811D0",2
"GO:0005881","GO:0005881","cytoplasmic microtubule","1/93","135/31010",0.333928102698898,0.488048765483004,0.348123426902697,"A2A5R2",1
"GO:0045171","GO:0045171","intercellular bridge","1/93","140/31010",0.34390002186118,0.497836222122852,0.355104784478211,"P48193",1
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","1/93","142/31010",0.34784730867259,0.498799914322959,0.355792182654188,"Q9ER39",1
"GO:0000932","GO:0000932","P-body","1/93","148/31010",0.359548756512914,0.499322805831102,0.356165159283958,"Q60865",1
"GO:0099634","GO:0099634","postsynaptic specialization membrane","1/93","148/31010",0.359548756512914,0.499322805831102,0.356165159283958,"Q811D0",1
"GO:0016234","GO:0016234","inclusion body","1/93","150/31010",0.363402893334445,0.499322805831102,0.356165159283958,"P10637",1
"GO:0043197","GO:0043197","dendritic spine","2/93","426/31010",0.366039639841372,0.499322805831102,0.356165159283958,"A2A5R2/Q9JHU2",2
"GO:0032589","GO:0032589","neuron projection membrane","1/93","153/31010",0.369141117652104,0.499322805831102,0.356165159283958,"P10637",1
"GO:0044309","GO:0044309","neuron spine","2/93","433/31010",0.373568459129861,0.499322805831102,0.356165159283958,"A2A5R2/Q9JHU2",2
"GO:0070382","GO:0070382","exocytic vesicle","2/93","437/31010",0.377854982870659,0.499322805831102,0.356165159283958,"Q9ER39/Q811D0",2
"GO:0030672","GO:0030672","synaptic vesicle membrane","1/93","158/31010",0.378591331077113,0.499322805831102,0.356165159283958,"Q811D0",1
"GO:0099501","GO:0099501","exocytic vesicle membrane","1/93","158/31010",0.378591331077113,0.499322805831102,0.356165159283958,"Q811D0",1
"GO:0031965","GO:0031965","nuclear membrane","2/93","440/31010",0.381062141292157,0.499322805831102,0.356165159283958,"Q9ER39/Q91ZP3",2
"GO:0030667","GO:0030667","secretory granule membrane","1/93","163/31010",0.387901480692616,0.502521190776437,0.358446555747736,"Q9Z329",1
"GO:0000794","GO:0000794","condensed nuclear chromosome","1/93","166/31010",0.3934211954105,0.502521190776437,0.358446555747736,"Q6PB66",1
"GO:0005811","GO:0005811","lipid droplet","1/93","166/31010",0.3934211954105,0.502521190776437,0.358446555747736,"O08715",1
"GO:0070062","GO:0070062","extracellular exosome","1/93","168/31010",0.397073620183807,0.502959918899488,0.358759498938001,"Q9CZD3",1
"GO:0001725","GO:0001725","stress fiber","1/93","175/31010",0.409686606367018,0.508479573087309,0.362696648393302,"Q80UG5",1
"GO:0097517","GO:0097517","contractile actin filament bundle","1/93","175/31010",0.409686606367018,0.508479573087309,0.362696648393302,"Q80UG5",1
"GO:0016363","GO:0016363","nuclear matrix","1/93","176/31010",0.411467022958809,0.508479573087309,0.362696648393302,"O35129",1
"GO:1903561","GO:1903561","extracellular vesicle","1/93","181/31010",0.420289734853131,0.515193868529645,0.367485931153417,"Q9CZD3",1
"GO:0005902","GO:0005902","microvillus","1/93","189/31010",0.434134684126581,0.527907775897923,0.376554715495056,"Q811D0",1
"GO:0032432","GO:0032432","actin filament bundle","1/93","192/31010",0.439241773905307,0.529878965346084,0.377960757829963,"Q80UG5",1
"GO:0042641","GO:0042641","actomyosin","1/93","198/31010",0.449319551179115,0.537768281726185,0.383588178793609,"Q80UG5",1
"GO:0030658","GO:0030658","transport vesicle membrane","1/93","215/31010",0.476910511414865,0.566331232305152,0.403962028583315,"Q811D0",1
"GO:0005604","GO:0005604","basement membrane","1/93","218/31010",0.481635511620491,0.566798681276015,0.404295458250897,"Q811D0",1
"GO:0005901","GO:0005901","caveola","1/93","220/31010",0.484762030038697,0.566798681276015,0.404295458250897,"P17710",1
"GO:0001650","GO:0001650","fibrillar center","1/93","228/31010",0.497082641142704,0.576767644684665,0.411406283950973,"O35857",1
"GO:0036126","GO:0036126","sperm flagellum","1/93","243/31010",0.519403409279554,0.598100895534032,0.426623214958485,"P17710",1
