"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005795","GO:0005795","Golgi stack","1/20","136/31010",0.0841782671914391,0.154326823184305,0.0867626876753867,"Q70FJ1",1
"GO:0043198","GO:0043198","dendritic shaft","1/20","146/31010",0.0900945034188816,0.161802373486971,0.0909654492091823,"Q8BTM8",1
"GO:0008076","GO:0008076","voltage-gated potassium channel complex","1/20","150/31010",0.092450816492774,0.162565757583276,0.0913946244786363,"Q70FJ1",1
"GO:0032589","GO:0032589","neuron projection membrane","1/20","153/31010",0.0942142458721261,0.162565757583276,0.0913946244786363,"Q9Z0P4",1
"GO:0030667","GO:0030667","secretory granule membrane","1/20","163/31010",0.10006886414718,0.165926000571661,0.0932837563022495,"P49817",1
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","1/20","163/31010",0.10006886414718,0.165926000571661,0.0932837563022495,"Q9WTQ5",1
"GO:0005811","GO:0005811","lipid droplet","1/20","166/31010",0.101818227623519,0.165926000571661,0.0932837563022495,"P49817",1
"GO:0030864","GO:0030864","cortical actin cytoskeleton","1/20","178/31010",0.108783429527081,0.172761751022918,0.0971268217473344,"Q9CQI6",1
"GO:0034705","GO:0034705","potassium channel complex","1/20","180/31010",0.109939296105493,0.172761751022918,0.0971268217473344,"Q70FJ1",1
"GO:0032432","GO:0032432","actin filament bundle","1/20","192/31010",0.116844644613604,0.180391732035038,0.101416404373766,"Q8BTM8",1
"GO:0005604","GO:0005604","basement membrane","1/20","218/31010",0.131632041622231,0.19971758039235,0.112281414813881,"P07724",1
"GO:0001669","GO:0001669","acrosomal vesicle","1/20","235/31010",0.14117321719455,0.210563442595261,0.118378968923173,"P49817",1
"GO:0005777","GO:0005777","peroxisome","1/20","248/31010",0.148402122329803,0.213775768756265,0.120184941764886,"P49817",1
"GO:0042579","GO:0042579","microbody","1/20","248/31010",0.148402122329803,0.213775768756265,0.120184941764886,"P49817",1
"GO:0005923","GO:0005923","bicellular tight junction","1/20","252/31010",0.150614746169186,0.213775768756265,0.120184941764886,"P70460",1
"GO:0097729","GO:0097729","9+2 motile cilium","1/20","264/31010",0.157219896087152,0.217297918030965,0.1221650974576,"Q70FJ1",1
"GO:0030176","GO:0030176","integral component of endoplasmic reticulum membrane","1/20","267/31010",0.158863542828891,0.217297918030965,0.1221650974576,"Q3U7R1",1
"GO:0070160","GO:0070160","tight junction","1/20","270/31010",0.160504144000144,0.217297918030965,0.1221650974576,"P70460",1
"GO:0031227","GO:0031227","intrinsic component of endoplasmic reticulum membrane","1/20","275/31010",0.163231725869182,0.217642301158909,0.122358709981684,"Q3U7R1",1
"GO:0005903","GO:0005903","brush border","1/20","284/31010",0.168120170453074,0.218968330642343,0.123104205026197,"Q8BTM8",1
"GO:0030018","GO:0030018","Z disc","1/20","286/31010",0.169202800950901,0.218968330642343,0.123104205026197,"Q8BTM8",1
"GO:0036064","GO:0036064","ciliary basal body","1/20","294/31010",0.173519952584584,0.220167681692266,0.123778481334169,"Q70FJ1",1
"GO:0043296","GO:0043296","apical junction complex","1/20","297/31010",0.175133383164302,0.220167681692266,0.123778481334169,"P70460",1
"GO:0031674","GO:0031674","I band","1/20","311/31010",0.182623243255404,0.226349935302473,0.127254150229859,"Q8BTM8",1
"GO:0098802","GO:0098802","plasma membrane signaling receptor complex","1/20","328/31010",0.191631226327987,0.234081235967825,0.131600694862294,"P48025",1
"GO:0019867","GO:0019867","outer membrane","1/20","343/31010",0.199501053381669,0.234081235967825,0.131600694862294,"Q8C5W0",1
"GO:0031256","GO:0031256","leading edge membrane","1/20","343/31010",0.199501053381669,0.234081235967825,0.131600694862294,"Q9Z0P4",1
"GO:0031968","GO:0031968","organelle outer membrane","1/20","343/31010",0.199501053381669,0.234081235967825,0.131600694862294,"Q8C5W0",1
"GO:0043679","GO:0043679","axon terminus","1/20","376/31010",0.216559242182038,0.250752806737097,0.140973467902435,"Q9Z0F7",1
"GO:0098862","GO:0098862","cluster of actin-based cell projections","1/20","385/31010",0.221151197164072,0.252744225330367,0.142093045341235,"Q8BTM8",1
"GO:0000139","GO:0000139","Golgi membrane","1/20","409/31010",0.233271736447758,0.25947240816172,0.145875636167474,"P49817",1
"GO:0044306","GO:0044306","neuron projection terminus","1/20","422/31010",0.239761990823611,0.25947240816172,0.145875636167474,"Q9Z0F7",1
"GO:0043197","GO:0043197","dendritic spine","1/20","426/31010",0.241748468975313,0.25947240816172,0.145875636167474,"Q9Z0P4",1
"GO:0044309","GO:0044309","neuron spine","1/20","433/31010",0.245212945770322,0.25947240816172,0.145875636167474,"Q9Z0P4",1
"GO:0031965","GO:0031965","nuclear membrane","1/20","440/31010",0.248662381282125,0.25947240816172,0.145875636167474,"Q8C5W0",1
"GO:0030017","GO:0030017","sarcomere","1/20","441/31010",0.249153933535129,0.25947240816172,0.145875636167474,"Q8BTM8",1
"GO:0030426","GO:0030426","growth cone","1/20","443/31010",0.25013612165595,0.25947240816172,0.145875636167474,"Q8BTM8",1
"GO:0005802","GO:0005802","trans-Golgi network","1/20","444/31010",0.250626757883479,0.25947240816172,0.145875636167474,"Q8BTM8",1
"GO:0030427","GO:0030427","site of polarized growth","1/20","455/31010",0.256003667020003,0.261897161828441,0.147238834999243,"Q8BTM8",1
"GO:0034703","GO:0034703","cation channel complex","1/20","461/31010",0.258921057716754,0.261897161828441,0.147238834999243,"Q70FJ1",1
"GO:0030016","GO:0030016","myofibril","1/20","494/31010",0.274773432323568,0.274773432323568,0.154477886593394,"Q8BTM8",1
