"","UNIPROT","SYMBOL","X.1","NegControl.1","NegControl.2","INT.1","INT.2","INT.3","INT.4","POS.1","POS.2","POS.3","POS.4","pvalue","imputed_log2FC","imputed_Pvalue","imputed_adjPvalue","X","log10pvalue","diffexpressed","unpacked"
"54","A3KGS3","Ralgapa2",1284,13.30819833,15.67787355,15.13581804,15.45929949,15.48880471,15.07208222,13.79585778,15.14213841,14.69090416,14.01004738,0.148205383,-0.879264182,0.148205383,0.371653498,NA,8.29136021965735,"NS_INT","A3KGS3"
"55","A6H8H2","Dennd4c",1309,12.52294626,12.97660641,15.67538502,16.33175671,15.86348705,16.05768124,14.11635939,15.46899561,15.3177659,15.23910572,0.023033514,-0.946520852,0.023033514,0.156951638,NA,16.3763980088112,"INT","A6H8H2"
"56","A6ZI46","Aldoart1",849,15.37622716,17.16658478,17.3274149,17.51733522,17.08787078,17.49294848,16.4477816,17.26700609,17.33440272,16.79767588,0.356998502,-0.39467577,0.356998502,0.601010177,NA,4.47333606225339,"NS","A6ZI46"
"57","A8DUK4","Hbb-bs",564,17.59517874,17.7363731,17.89700802,16.84302478,17.83959868,17.7412958,16.3185075,17.20630857,18.4360056,17.66255022,0.721738018,-0.174388846,0.721738018,0.847873476,NA,1.41620417367127,"NS","A8DUK4"
"107","B1AR17","Chd3",818,11.75442824,10.25609072,13.60014522,14.76704643,13.96884676,14.2753243,12.94418129,14.41745699,13.80100098,13.94918837,0.443816524,-0.37488377,0.443816524,0.666747405,NA,3.52796532323873,"NS","B1AR17"
"108","B1AY13","Usp24",553,11.63223468,10.52079669,14.36165252,15.06478103,14.67997301,14.53372135,13.66412074,14.9792976,14.7237938,14.60807223,0.663606851,-0.166210882,0.663606851,0.814517446,NA,1.78089139018779,"NS","B1AY13"
"109","B2RQC6","Cad",376,13.7279224,12.5661602,14.80039618,15.48227737,14.65331076,15.20942972,14.18960993,15.40968625,15.14138557,15.38828416,0.991819683,-0.004112029,0.991819683,0.996711519,NA,0.0356727723722024,"NS","B2RQC6"
"110","B2RXC1","Trappc11",878,13.01169899,12.08281302,15.49585503,15.98731889,15.69463863,15.65466499,14.38673779,15.50875422,15.68926093,15.60211889,0.273435059,-0.411401427,0.273435059,0.528309399,NA,5.63145802298963,"NS","B2RXC1"
"111","B2RXM2",NA,328,13.89613818,13.14745231,15.34099869,16.38913465,15.43451814,15.68838692,14.85141206,16.35439876,16.10598682,15.83619167,0.859446452,0.073737723,0.859446452,0.924075011,NA,0.657811769471144,"NS","B2RXM2"
"112","B2RY53",NA,374,16.76399682,15.91410246,18.22842288,18.35433777,18.32620728,17.97640935,17.58703508,18.49156756,17.88774834,18.91018209,0.994817901,-0.002211054,0.994817901,0.997736524,NA,0.0225640852918873,"NS","B2RY53"
"113","CON__P01966",NA,1271,13.4252159,15.47538513,16.48494873,16.1769328,16.52697293,17.19007543,13.93193785,16.49979918,17.20418902,15.29723871,0.314077831,-0.86144128,0.314077831,0.561203398,NA,5.02962716941674,"NS_INT","CON__P01966"
"114","CON__P02070",NA,279,15.03333696,15.62750539,16.57344009,16.54239712,16.45058302,16.69152544,16.28883004,16.87795509,17.02117519,16.62356718,0.494305852,0.138395456,0.494305852,0.709259276,NA,3.06004247972839,"NS","CON__P02070"
"115","CON__P62894",NA,1567,14.11756194,17.03735391,17.3153088,18.25132522,17.30162123,17.83941295,14.86930466,16.54582422,16.01432565,15.46591709,0.023718918,-1.953074145,0.023718918,0.156951638,NA,16.2490512632579,"INT","CON__P62894"
"116","CON__Q2KJC7",NA,765,13.66777684,14.19928892,15.69136186,15.88626815,15.58049413,15.87486131,15.012319,16.05765334,15.34820945,15.26883437,0.204078103,-0.336492323,0.204078103,0.440009667,NA,6.90203591346822,"NS","CON__Q2KJC7"
"117","CON__Q3SX09",NA,279,15.03333696,15.62750539,16.57344009,16.54239712,16.45058302,16.69152544,16.28883004,16.87795509,17.02117519,16.62356718,0.494305852,0.138395456,0.494305852,0.709259276,NA,3.06004247972839,"NS","CON__Q3SX09"
"121","D3YTP3","Mtx3",1386,13.8202408,14.48794155,17.14292856,17.2413896,16.74195933,16.98413485,15.21257941,16.50317817,15.96426864,15.75756157,0.005475658,-1.168206139,0.005475658,0.131329092,NA,22.6156368496302,"INT","D3YTP3"
"122","D3YXK2","Safb",1220,10.82813648,9.177247,13.91914266,15.21261037,14.35954368,13.52601011,12.45208677,13.95646691,13.47027756,14.09044328,0.192161473,-0.762008076,0.192161473,0.427316782,NA,7.16333680875183,"NS","D3YXK2"
"123","D3YYZ2",NA,256,15.01704795,14.55640476,16.88083932,18.24354096,17.0451644,17.33373219,16.4943782,17.92919183,17.79955453,17.97013478,0.70677822,0.172495621,0.70677822,0.838463244,NA,1.50716842130125,"NS","D3YYZ2"
"124","D3Z3L3","Trim12c",353,8.745844,9.177247,14.04712391,14.37958143,14.47256393,14.27583351,13.45108229,14.67225958,14.79568457,14.37931067,0.925847405,0.030808584,0.925847405,0.962806894,NA,0.334605863498793,"NS","D3Z3L3"
"125","D3Z3N4","Hnrnph3",1023,11.42856955,10.60019169,13.59549061,15.64038617,13.82257083,14.54321311,12.78947251,14.50133962,13.43775207,14.61332905,0.384077374,-0.564941866,0.384077374,0.620858228,NA,4.15581276371343,"NS","D3Z3N4"
"126","D3Z4K0","Ankrd36",707,12.01346226,12.6977495,15.09963547,15.37038091,14.67524036,14.98610868,13.86524997,15.35035221,15.11231732,14.62759088,0.435845322,-0.293963759,0.435845322,0.661196903,NA,3.60667611007877,"NS","D3Z4K0"
"127","D4AFX7",NA,411,12.32970839,12.33997191,14.72347931,15.08330974,14.66778569,14.95880652,14.01890308,15.30293342,15.09384455,14.87801956,0.90297015,-0.034920159,0.90297015,0.948962827,NA,0.443266061699455,"NS","D4AFX7"
"128","E9PV04","Eif4a3l1",1296,14.97946985,15.41923602,17.07389051,17.94740865,17.21000539,17.19055776,15.71228517,17.04622877,16.44503102,16.59409129,0.027596128,-0.906056515,0.027596128,0.167842122,NA,15.5915184931883,"INT","E9PV04"
"129","E9PV24","Fga",75,13.66260487,12.40195388,14.56832667,15.08373983,14.93663849,14.79076295,14.8801494,15.86364806,15.71059509,15.71491666,0.073503645,0.697460317,0.073503645,0.277340142,NA,11.3369112398879,"NS","E9PV24"
"130","E9PVA8","Gcn1",1041,12.76854899,12.62245982,15.88723392,16.28033806,15.96817863,15.71156099,14.41689992,15.98784288,15.61560487,15.50468225,0.124369355,-0.580570419,0.124369355,0.343596693,NA,9.05286617988829,"NS","E9PVA8"
"131","E9PWG2","Trappc8",953,13.42018376,13.54703762,16.31028197,16.82443589,16.39040897,16.3384473,15.11989107,16.31853833,16.26673895,16.19215889,0.132045715,-0.491561721,0.132045715,0.353422851,NA,8.79275687467655,"NS","E9PWG2"
"132","E9PWQ3",NA,156,14.45093947,13.22970548,14.839595,15.16255089,14.67229716,15.10356868,15.00362684,15.92909378,15.33489725,15.13707617,0.24002906,0.406670579,0.24002906,0.48723209,NA,6.19736175648253,"NS","E9PWQ3"
